Sr. No.,Player Name,Base Price,Winning Bid,Capped/Uncapped,Team,Sold/Unsold
75,Rishabh Pant,20000000,270000000.0,Capped,LSG,Sold
112,Shreyas Iyer,20000000,267500000.0,Capped,PBKS,Sold
60,Venkatesh Iyer,20000000,237500000.0,Capped,KKR,Sold
113,Yuzvendra Chahal,20000000,180000000.0,Capped,PBKS,Sold
114,Arshdeep Singh,20000000,180000000.0,Capped,PBKS,Sold
40,Jos Buttler,20000000,157500000.0,Capped,GT,Sold
21,KL Rahul,20000000,140000000.0,Capped,DC,Sold
135,Josh Hazlewood,20000000,125000000.0,Capped,RCB,Sold
94,Trent Boult,20000000,125000000.0,Capped,MI,Sold
154,Jofra Archer,20000000,125000000.0,Capped,RR,Sold
